file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\druid\indexing-service\src\test\java\org\apache\druid\indexing\common\task\KillUnusedSegmentsTaskTest.java,org.apache.druid.indexing.common.task.KillUnusedSegmentsTaskTest$KillUnusedSegmentsTaskBuilder,innerclass,4,4,0,4,10,1,0,0,27,0.8000001,0.2,1.0,10,0,10,0,0,0,10,0,0,0,9,0,0,9,0,0,0,0,0,50,10,0,0,0,0,0,0,9,0,9,0,0,0,0,27,10,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\data\ColumnarDoublesSerializer.java,org.apache.druid.segment.data.ColumnarDoublesSerializer,interface,1,6,5,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
E:\Git_Projects\druid\extensions-core\lookups-cached-global\src\main\java\org\apache\druid\query\lookup\namespace\UriExtractionNamespace.java,org.apache.druid.query.lookup.namespace.UriExtractionNamespace$ObjectMapperFlatDataParser,innerclass,8,8,0,8,8,1,0,4,8,0.6,0.1,0.1,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,42,6,0,3,0,0,2,1,2,0,2,1,1,0,0,20,9,0
E:\Git_Projects\druid\server\src\main\java\org\apache\druid\segment\realtime\firehose\TimedShutoffFirehoseFactory.java,org.apache.druid.segment.realtime.firehose.TimedShutoffFirehoseFactory,class,8,9,1,8,4,1,0,0,2,0.6666667,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,3,0,0,50,3,0,0,0,0,4,0,3,0,3,0,0,1,0,50,1,0
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\planner\querygen\DruidQueryGenerator.java,org.apache.druid.sql.calcite.planner.querygen.DruidQueryGenerator,class,10,12,2,10,9,1,0,19,2,0.5,1.0,1.0,4,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,172,5,1,1,0,1,1,2,11,0,9,2,0,2,0,39,1,0
E:\Git_Projects\druid\processing\src\test\java\org\apache\druid\segment\generator\DataGeneratorTest.java,org.apache.druid.segment.generator.DataGeneratorTest$RowValueTracker,innerclass,2,2,0,2,19,1,0,20,0,0.0,1.0,1.0,6,0,3,3,0,0,3,0,0,0,1,0,0,1,0,0,0,0,6,70,0,7,4,0,1,11,3,21,3,17,3,0,0,0,42,10,2
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\external\Externals.java,org.apache.druid.sql.calcite.external.Externals,class,27,32,5,27,36,1,0,38,66,0.9166667,0.0,0.0,12,12,8,4,0,0,8,0,0,0,1,1,1,0,0,0,1,0,10,156,17,4,4,0,1,7,7,25,3,22,2,1,0,1,209,1,0
E:\Git_Projects\druid\extensions-core\kafka-indexing-service\src\test\java\org\apache\druid\indexing\kafka\KafkaCheckpointDataSourceMetadataSerdeTest.java,org.apache.druid.indexing.kafka.KafkaCheckpointDataSourceMetadataSerdeTest,class,10,10,0,10,4,1,0,7,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,75,21,14,1,14,0,0,0,0,35,1,0
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\expression\builtin\RTrimOperatorConversion.java,org.apache.druid.sql.calcite.expression.builtin.RTrimOperatorConversion,class,8,9,1,8,3,1,0,13,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,17,4,0,0,0,0,2,5,1,0,2,2,0,0,1,28,1,0
E:\Git_Projects\druid\extensions-core\kafka-indexing-service\src\test\java\org\apache\druid\indexing\kafka\KafkaIOConfigTest.java,org.apache.druid.indexing.kafka.KafkaIOConfigTest,class,10,10,0,10,11,1,0,27,0,0.13636364,1.0,1.0,11,0,11,0,0,0,11,0,0,0,2,0,1,1,0,0,2,0,3,99,0,0,0,0,0,128,24,15,10,15,0,0,0,0,52,1,0
